Name,Category,Price,Description,InStock
עכבר אלחוטי TY-Click 5,עכברים,149,"מקט TY-MS-05. עכבר שקט ונוח לעבודה יומיומית. מפרט: חיישן אופטי עד 4000 DPI, ארבע דרגות; חיבור כפול: בלוטותTs' + דונגל 2.4GHz; לחיצות שקטות (פחות מ-25 דציבל); 6 כפתורים, גלגל הטיה; סוללה נטענת, עד 70 יום בשימוש רגיל; אחיזה אנטומית לימין, משקל 92 גרם. באריזה: עכבר, דונגל USB-A, כבל USB-C. אחריות: 24 חודשים. מתאים ל: עבודה משרדית, ספרייה, נסיעות.",checked
עכבר גיימינג TY-Click Pro,עכברים,259,"מקט TY-MS-PRO. עכבר אלחוטי קל להשהיה נמוכה. מפרט: חיישן אופטי 26,000 DPI, האצה 650 IPS; קצב דגימה 1000Hz בחיבור אלחוטי 2.4GHz; משקל 68 גרם, גוף חלול; רגליות PTFE, כבל paracord לטעינה ולמשחק; 8 כפתורים ניתנים לתכנות, זיכרון ל-5 פרופילים; עד 70 שעות משחק; תוכנת התאמה לווינדוס בלבד. באריזה: עכבר, דונגל 2.4GHz, מאריך דונגל, כבל paracord, רגליות חלופיות. אחריות: 24 חודשים. מתאים ל: משחקי FPS, תחרויות, מי שרגיש להשהיה.",checked
מצלמת רשת TY-Cam 1080p,מצלמות רשת,219,"מקט TY-CM-1080. מצלמת רשת פשוטה לשיחות זום ולימודים. מפרט: רזולוציה 1080p ב-30 פריימים; עדשה בפוקוס קבוע, שדה ראייה 78 מעלות; תיקון תאורה אוטומטי (מתאים לחדר עם חלון מאחור); שני מיקרופונים עם הפחתת רעש, טווח 2 מטר; כיסוי פרטיות מכני נגרר; חיבור USB-A, plug and play בלי התקנה; קליפס למסך + הברגה לחצובה. באריזה: מצלמה עם כבל מחובר (1.5 מטר), כיסוי פרטיות. אחריות: 12 חודשים. מתאים ל: זום, לימודים מרחוק, שיחות עבודה.",checked
מצלמת רשת TY-Cam 4K Pro,מצלמות רשת,549,"מקט TY-CM-4K. מצלמת רשת 4K עם אוטופוקוס ו-HDR לשידורים ולפגישות. מפרט: 4K ב-30 פריימים, 1080p ב-60 פריימים; חיישן Sony 1/2.8 אינץ', אוטופוקוס מהיר; HDR ותיקון תאורה — מתאים לתאורה קשה; שדה ראייה מתכוונן: 65 / 78 / 90 מעלות; זום דיגיטלי ×5 ומעקב אחר הדובר; שלושה מיקרופונים beamforming, טווח 4 מטר; חיבור USB-C (כבל USB-A כלול), UVC — עובד בלי דרייבר; תמיכה ב-Windows Hello לזיהוי פנים. באריזה: מצלמה, כבל USB-C ל-A באורך 2 מטר, מכסה פרטיות, נרתיק. אחריות: 12 חודשים. מתאים ל: שידורים, פגישות עסקיות, חדר ישיבות קטן.",checked
מיקרופון USB TY-Mic,מיקרופונים,329,"מקט TY-MIC-1. מיקרופון שולחני לפודקאסט, שידורים והקלטות. מפרט: קפסולה קונדנסר, תבנית קרדיואיד (קולט מלפנים); איכות הקלטה 24 ביט / 96 קילוהרץ; יציאת ניטור לאוזניות עם השהיה אפסית; כפתור השתקה עם נורית וכוונון ווליום; חיבור USB-C, עובד בלי דרייבר בווינדוס, מק ולינוקס; כן שולחני עם בולם רעידות, הברגה תקנית לזרוע; אין תמיכה ב-XLR. באריזה: מיקרופון, כן שולחני, כבל USB-C באורך 2 מטר, מגן רוח. אחריות: 12 חודשים. מתאים ל: פודקאסט, הקלטת שיעורים, שידורים, שיחות איכותיות.",checked
עמדת עגינה USB-C TY-Dock 11,עגינה,399,"מקט TY-DK-11. עמדת עגינה עם 11 חיבורים ללפטופ אחד. מפרט: חיבור USB-C יחיד ללפטופ, העברת חשמל (passthrough) עד 85W; שני מסכים: HDMI 4K@30 + HDMI 4K@30, או מסך אחד 4K@60; רשת גיגהביט RJ45; 3 חיבורי USB-A 3.0 + USB-C נתונים; קורא כרטיסי SD ו-microSD; שקע אוזניות ומיקרופון משולב; גוף אלומיניום, כבל מחובר 25 ס""מ; דורש ספק כח של הלפטופ — לא כלול. באריזה: עמדת עגינה, מדריך התחלה. אחריות: 24 חודשים. מתאים ל: לפטופ עם USB-C, עבודה מהבית, עמדה משותפת. שימו לב: מקבוק אייר תומך במסך חיצוני אחד בלבד.",checked
כבל HDMI 2.1 באורך 2 מטר,כבלים,59,"מקט TY-CB-HD21. כבל HDMI מוסמך ל-8K ולגיימינג ב-120 הרץ. מפרט: תקן HDMI 2.1, רוחב פס 48Gbps; תמיכה ב-8K@60Hz ו-4K@120Hz; eARC להעברת סאונד לסאונדבר; VRR ו-ALLM לקונסולות; ציפוי קלוע, מחברים מוזהבים, אורך 2 מטר. באריזה: כבל, סרט הידוק. אחריות: 12 חודשים. מתאים ל: קונסולות דור נוכחי, מסך 144Hz, סאונדבר. כפיפה חדה נחשבת נזק מכני ואינה באחריות.",checked
כבל USB-C 100W באורך 2 מטר,כבלים,45,"מקט TY-CB-UC100. כבל טעינה מחוזק ללפטופ ולטלפון. מפרט: הזנת חשמל עד 100W (20V/5A), תומך PD 3.0; העברת נתונים USB 2.0 — 480Mbps (לא לגיבויים מהירים); שרוול ניילון קלוע, עמידות ל-25,000 כפיפות; אורך 2 מטר, מחברים מחוזקים; תואם לפטופים, טאבלטים, טלפונים וקונסולת Switch. באריזה: כבל, רצועת סקוץ'. אחריות: 12 חודשים. מתאים ל: טעינת לפטופ, נסיעות, כבל גיבוי בתיק.",checked
מטען קיר GaN 65W,מטענים,129,"מקט TY-CH-65. מטען קומפקטי שמחליף שני מטענים. מפרט: הספק כולל 65W, טכנולוגיית GaN; שלוש יציאות: 2×USB-C + 1×USB-A; חלוקה חכמה: 45W+20W בשימוש כפול; תמיכה ב-PD 3.0 ו-PPS (טעינה מהירה לסמסונג); מתאים לטעינת לפטופ עד 65W; גודל 5×5×3 ס""מ, משקל 115 גרם, פינים מתקפלים; הגנות: חום, קצר, מתח יתר. באריזה: מטען בלבד — כבל נמכר בנפרד. אחריות: 12 חודשים. מתאים ל: נסיעות, שולחן עבודה, טעינת לפטופ וטלפון יחד.",checked
"סוללת גיבוי 20,000mAh TY-Power",מטענים,189,"מקט TY-PB-20. פאוור-בנק לטיסות ולימי עבודה ארוכים. מפרט: קיבולת 20,000mAh (74Wh) — מאושר לטיסה; יציאות: USB-C דו-כיווני 20W + 2×USB-A 22.5W; טעינה של שלושה מכשירים במקביל; תצוגת אחוזים דיגיטלית; טעינה מלאה של הסוללה עצמה: 5 שעות ב-20W; מטעין טלפון כ-4 פעמים, לפטופ קטן פעם אחת חלקית; משקל 420 גרם. באריזה: סוללה, כבל USB-C, נרתיק בד. אחריות: 12 חודשים, קיבולת מובטחת 80%. מתאים ל: טיסות, כנסים, ימי צילום.",checked
כונן SSD חיצוני 1TB TY-Store,אחסון,399,"מקט TY-SD-1TB. כונן נייד מהיר ועמיד לגיבויים ולעריכה. מפרט: קיבולת 1TB, זיכרון NVMe בתוך מארז USB; מהירות קריאה עד 1050MB/s, כתיבה עד 1000MB/s; חיבור USB 3.2 Gen2 (10Gbps); עמידות אבק ומים IP54, עמידות נפילה עד 2 מטר; תואם ווינדוס, מק, לינוקס, PS5 ו-Xbox (עם פרמוט); הצפנת AES-256 בתוכנה כלולה; גודל כרטיס אשראי, משקל 45 גרם. באריזה: כונן, כבל USB-C ל-C, מתאם USB-C ל-A. אחריות: 36 חודשים. מתאים ל: גיבוי, עריכת וידאו, ספריית משחקים. הגיבוי באחריות הלקוח — אין שחזור מידע באחריות.",checked
מאריך טווח Wi-Fi 6 TY-Mesh,רשת,239,"מקט TY-WF-6. מרחיב כיסוי לדירה עם קירות בטון. מפרט: תקן Wi-Fi 6 (AX1800), דו-פסי 2.4 + 5 גיגה-הרץ; קצב מקסימלי תיאורטי 1800Mbps; יציאת רשת גיגהביט אחת למחשב או טלוויזיה; התחברות בלחיצת WPS או באפליקציה; מצב מאריך או מצב נקודת גישה; נורית עוצמה שמראה אם ההצבה טובה; תמיכה בעד 32 מכשירים במקביל. באריזה: מאריך, כבל רשת קצר, מדריך. אחריות: 12 חודשים. מתאים ל: פינות מתות בדירה, מרפסת, חדר עבודה מרוחק.",checked
התקנת עמדת עבודה בבית הלקוח,שירותים,349,"מקט TY-SRV-01. טכנאי מגיע הביתה, מחבר ומכוון עמדה מלאה. מה השירות כולל: חיבור מסך אחד או שניים, כולל כיוון רזולוציה וקצב רענון; חיבור מקלדת, עכבר, מצלמה ועמדת עגינה; סידור וקיבוע כבלים בסיסי מאחורי השולחן; התאמת גובה מסך וכיסא לישיבה נכונה; הדרכה קצרה של 15 דקות על מה שהותקן. מה לא כולל: התקנת מדפים או זרועות לקיר בטון נושא; עבודות חשמל או נקודות רשת חדשות; התקנת מערכת הפעלה או העברת נתונים (שירות נפרד). משך: עד שעה וחצי בבית הלקוח. זמינות ותיאום: תיאום תוך 3 ימי עסקים, חלונות של 3 שעות. אחריות: 30 יום על טיב העבודה.",checked
"שירות ""עמדה מוכנה"" — הרכבה מלאה",שירותים,599,"מקט TY-SRV-02. כל מה שקנית מגיע מותקן, מכוון ומסודר. מה השירות כולל: הכל מ-TY-SRV-01, וגם:; הרכבת זרוע מסך או מעמד כפול; ניהול כבלים מלא עם תעלה או רשת מתחת לשולחן; כיול צבע בסיסי למסך (sRGB); התקנת דרייברים ותוכנות של המקלדת, העכבר והמצלמה; בדיקת מהירות רשת ומיקום מיטבי לראוטר או למאריך. מה לא כולל: הרכבת שולחן או כיסא; קידוח בקיר בטון נושא; עבודות חשמל. משך: עד 3 שעות בבית הלקוח. זמינות ותיאום: תיאום תוך 3 ימי עסקים. אחריות: 30 יום על טיב העבודה.",checked
אבחון מעבדה,שירותים,89,"מקט TY-SRV-03. בדיקה מקצועית שמסבירה מה התקלה וכמה יעלה לתקן. מה השירות כולל: בדיקה חזותית ופנימית של המוצר; בדיקות עומס וטמפרטורה לפי סוג המוצר; דוח אבחון בכתב עם הגורם המשוער לתקלה; הצעת מחיר מפורטת לתיקון, תקפה 14 יום; דמי האבחון מוחזרים במלואם אם התיקון מבוצע אצלנו. מה לא כולל: תיקון עצמו; חלקי חילוף; שחזור מידע. משך: עד 3 ימי עסקים מקבלת המוצר. זמינות ותיאום: קבלת מוצרים למעבדה עד 17:00.",checked
תיקון מעבדה,שירותים,149,"מקט TY-SRV-04. תיקון אחרי אבחון ואישור הלקוח, במעבדה שלנו בחנות. מחיר: החל מ-149 ₪, לפי הצעת מחיר. מה השירות כולל: עבודת טכנאי — מינימום שעה; החלפת רכיבים לפי הצעת המחיר שאושרה; ניקוי פנימי והחלפת מסטיק תרמי כשנדרש; בדיקת עומס לפני החזרה ללקוח; עדכון הלקוח בטלגרם או במייל בכל שלב. מה לא כולל: חלקי חילוף — מחויבים בנפרד לפי ההצעה; מוצרים עם נזק נוזלים נרחב; טלפונים סלולריים וקונסולות משחק. משך: עד 10 ימי עסקים מאישור ההצעה. זמינות ותיאום: תיקון שנמשך מעל 10 ימי עסקים — מוצר חלופי בהשאלה. אחריות: 3 חודשים על אותה תקלה.",checked
שדרוג SSD או זיכרון כולל העברת מערכת,שירותים,249,"מקט TY-SRV-05. מחשב איטי הופך למהיר, בלי להתקין הכל מחדש. מה השירות כולל: התקנת כונן SSD או זיכרון RAM שנקנה אצלנו; שכפול מערכת ההפעלה לכונן החדש (clone) — הכל נשאר במקום; עדכון קושחה ובדיקת בריאות הכונן; בדיקת מהירות לפני ואחרי, בכתב; החזרת הכונן הישן ללקוח. מה לא כולל: מחיר הכונן או הזיכרון עצמו; התקנת מערכת הפעלה מאפס (בתוספת 149 ₪); שדרוג בלפטופים שאינם פתיחים. משך: יום עסקים אחד ברוב המקרים. זמינות ותיאום: בתיאום מראש; אפשר להמתין בחנות בשעות הבוקר. אחריות: 3 חודשים על העבודה.",checked
גיבוי והעברת נתונים,שירותים,199,"מקט TY-SRV-06. העברת כל התכולה ממחשב ישן לחדש. מה השירות כולל: העברת מסמכים, תמונות, שולחן עבודה והורדות; העברת פרופיל דפדפן: סימניות, סיסמאות שמורות והיסטוריה; העברת חשבונות דוא""ל מוגדרים; עד 500GB נתונים במחיר הבסיס; אימות שהכל הועבר, בנוכחות הלקוח או בשיחה. מה לא כולל: רכישת כונן גיבוי; העברת תוכנות ולייסנסים — לפי אפשרות; שחזור מידע מכונן פגום (שירות חוץ, לפי הצעה). משך: יום עסקים אחד; מעל 500GB — יומיים. זמינות ותיאום: אפשר גם מרחוק אם שני המחשבים תקינים. אחריות: 7 ימים לבדיקת שלמות ההעברה.",checked
תמיכה מרחוק — חצי שעה,שירותים,99,"מקט TY-SRV-07. פתרון תקלה בשיתוף מסך, בלי לצאת מהבית. מה השירות כולל: חיבור מרחוק מאובטח בהרשאת הלקוח; טיפול בתקלות הגדרה: מסך שני, שמע, מצלמה, מדפסת, רשת; התקנת דרייברים ועדכונים; הסבר ותיעוד קצר של מה שנעשה; אם לא נפתר — לא מחויבים. מה לא כולל: תקלות חומרה שדורשות מעבדה; התקנת מערכת הפעלה; טיפול בווירוסים ובנעילות כופר. משך: 30 דקות; חצי שעה נוספת — 79 ₪. זמינות ותיאום: תיאום עד יום עסקים אחד. אחריות: אותה תקלה חוזרת תוך 7 ימים — טיפול נוסף בלי תשלום.",checked
חבילת תמיכה עסקית חודשית,שירותים,690,"מקט TY-SRV-08. טכנאי זמין לעסק קטן, בלי להעסיק איש IT. מחיר: 690 ₪ לחודש, מינימום 3 חודשים. מה השירות כולל: עד 6 קריאות תמיכה מרחוק בחודש; ביקור טכנאי אחד באתר הלקוח בחודש (עד שעתיים); זמן תגובה 4 שעות עבודה לקריאה דחופה; ניטור גיבויים ובדיקת מצב חומרה חודשית; 10% הנחה על מוצרים בקטלוג; עדיפות במעבדה — אבחון תוך יום עסקים. מה לא כולל: חלקי חילוף וחומרה; פיתוח תוכנה או אפיון מערכות; תמיכה בשרתים פיזיים ובענן. משך: מנוי חודשי, הודעת ביטול 30 יום מראש. זמינות ותיאום: זמן תגובה 4 שעות עבודה; קריאות מחוץ לשעות — יום העסקים הבא. אחריות: לפי הסכם השירות.",checked
התקנת מצלמות רשת לעסק קטן,שירותים,1290,"מקט TY-SRV-09. מערכת צפייה מרחוק לחנות או למשרד. מחיר: עד 4 מצלמות; מצלמה נוספת 190 ₪. מה השירות כולל: התקנת עד 4 מצלמות רשת וחיבורן לרשת הקיימת; העברת כבלים גלויה בתעלות עד 15 מטר; הגדרת הקלטה מקומית לכרטיס או לכונן; הגדרת צפייה מרחוק מהטלפון, כולל התראות תנועה; הדרכת המשתמשים בעסק; שילוט ""המקום מצולם"" כנדרש. מה לא כולל: מחיר המצלמות והכונן; עבודות חשמל ונקודות רשת חדשות; התקנה בגובה מעל 2.5 מטר או בקיר בטון נושא; ייעוץ משפטי בנושא צילום עובדים ולקוחות. משך: חצי יום עבודה עד יום שלם. זמינות ותיאום: סקר מקדים טלפוני; תיאום תוך 5 ימי עסקים. אחריות: 30 יום על טיב העבודה, אחריות המצלמות 12 חודשים.",checked
הדרכה אישית — שעה,שירותים,179,"מקט TY-SRV-10. מישהו שיסביר בשקט איך עובד מה שקנית. מה השירות כולל: הדרכה אחד-על-אחד, בחנות או מרחוק; נושאים לבחירה: ניהול קבצים וגיבוי, שיחות וידאו, הגדרות פרטיות ואבטחה, שימוש בעמדת עגינה, בסיס עריכת וידאו, הגדרת מיקרופון ומצלמה לשידור; דף סיכום עם צעדים לביצוע עצמי; התאמה לקצב הלומד, גם למי שלא מרגיש נוח עם טכנולוגיה. מה לא כולל: התקנות חומרה; הדרכה קבוצתית (לפי הצעה). משך: שעה; שעה נוספת 149 ₪. זמינות ותיאום: תיאום עד 3 ימי עסקים.",checked
אחריות מורחבת +12 חודשים,שירותים,99,"מקט TY-SRV-11. שנה נוספת של שקט נפשי, בעלות של אחוזים. מחיר: 12% ממחיר המוצר, מינימום 99 ₪. מה השירות כולל: הארכת האחריות ב-12 חודשים מעבר לתקופה המקורית; אותם תנאים ואותו כיסוי כמו האחריות הרגילה; ניתן לרכוש עד 30 יום מיום הרכישה; עוברת לקונה חדש אם המוצר נמכר, עם החשבונית. מה לא כולל: כבלים, מטענים ומתכלים; מוצרי תצוגה ומוצרים מוחזרים; נזקי נוזלים ושבר מכני — לא מכוסים גם בהרחבה. משך: מופעלת מיד עם הרכישה. אחריות: 12 חודשים נוספים.",checked
איסוף ומשלוח מוצר למעבדה,שירותים,79,"מקט TY-SRV-12. שליח אוסף מהבית ומחזיר, בלי להגיע לחנות. מה השירות כולל: איסוף מכתובת הלקוח באזור השירות; אריזה מגנה על חשבוננו; מסירה למעבדה ורישום כתב שירות; החזרת המוצר לכתובת הלקוח בסיום; מעקב וקוד קריאה בטלגרם. מה לא כולל: דמי אבחון או תיקון; מוצרים מעל 15 ק""ג (בתיאום מיוחד); איסוף מחוץ לאזור השירות. משך: איסוף תוך 2 ימי עסקים מהבקשה. זמינות ותיאום: איסוף בימים א'–ה', חלונות של 3 שעות. אחריות: אחריות על ההובלה עלינו.",checked
